"profile-review__header","profile-review__data-item","profile-review__data-item 2","data--item","data--item 2","sg-rating__number","profile-review__rating-metrics 2","profile-review__rating-metrics 4","profile-review__rating-metrics 6","profile-review__rating-metrics 8","profile-review__quote","profile-review__date","reviewer_position","reviewer_card--name","profile-review__reviewer-verification-badge-title","reviewer_list__details-title","reviewer_list__details-title 2","reviewer_list__details-title 3","reviewer_list__details-title 4","profile-review__summary","profile-review__feedback","profile-review__extra-type","profile-review__text","profile-review__text 2","profile-review__text 3","profile-review__text 4","profile-review__text 5","profile-review__text 6","profile-review__text 7","profile-review__text 8","profile-review__text 9","profile-review__text 10","profile-review__text 11","profile-review__text 12","profile-review__text 14","profile-review__text 15","profile-review__text 16","profile-review__text 17","profile-review__text 18","profile-review__text 19","profile-review__text 20","profile-review__text 21","profile-review__text 22","profile-review__text 23","profile-review__text 24","profile-review__text 25","profile-review__text 26","profile-review__text 27","sg-rating__number 2","profile-review__text 32","profile-review__text 33","profile-review__text 34","profile-review__text 35","profile-review__extra-quote","profile-review__extra-detailed-metrics-quote","profile-review__extra-detailed-metrics-quote 2","profile-review__extra-detailed-metrics-quote 3","profile-review__extra-detailed-metrics-quote 4","profile-review__text 36","profile-review__text 37","profile-review__text 38","profile-review__text 41"
"SEO for Pest Control Company","Search Engine Optimization","","$10,000 to $49,999","June 2019 - Ongoing","5.0","5.0","5.0","5.0","5.0","""They understand our industry and so they know what is best for our company.""","Dec 9, 2019","Director of Marketing, American Pest Control","Kathryn Haggerty","Verified","Business services","Hanna City, Illinois","51-200 Employees","Online Review","Big Leap provided SEO services for a pest control company. This included an audit of the company website, keyword targeting, ad blog creation.","The engagement resulted in 10 pieces of quality blog content thus far and an increase in search rankings. Big Leap establishes a smooth workflow and operates on a flexible schedule. The team is hard-working and understanding, explaining complex processes to the client when necessary.","The client submitted this review online.","Please describe your company and your position there.","I am the marketing director for a pest control company location in Hanna City, Illinois. We are a family run business, with 75 employees, and over 65 years of pest control experience.","For what projects/services did your company hire Big Leap?","We were very unhappy with our former SEO company and wanted a change. Our company went fully paperless a year ago and we wanted to improve our online presence. We felt like we were overpaying and our former SEO company was underdelivering. We needed help with creating content with our website and improving our gooogle ranking.","What were your goals for this project?","They were referred to us by the company that runs our pest control software. They looked at our website and told us what they were going to do for us and how they were going to do it. We jumped on a call with them and after a couple minutes, we knew that they were going to be better than our former SEO company. They were honest about their price and they did not and have not tried to up sale us.","","","How did you select this vendor?","","Describe the project in detail.","Our goals were to have Big Leap help us create content for our website and improve our Google ranking. We are one of the largest pest control companies in the state of Illinois and you would not know that by our small online presence.","What was the team composition?","We started off with weekly meetings with a team of people. They did a complete audit of our website. We gave them control of our GMB pages and our website. After about a month we then went to monthly meetings with an account manager. From there, they have created numerous blogs for us and have created service pages for our website. With this we have seen a large increase in our keyword rankings.","Can you share any outcomes from the project that demonstrate progress or success?","We communicate with an account manager. She is very friendly and always goes into detail in her report during our monthly meetings. I am never afraid to ask questions. She is very clear on what she needs from us each month.","How effective was the workflow between your team and theirs?","We have seen a large increase in our keyword rankings and have had over 10 great pieces of content created for our website.","What did you find most impressive about this company?","The team and account manager have been awesome to work with. We have learned a lot about SEO since hiring them. They are quick to respond to emails and have a flexible schedule if we have to change the time of a meeting.","Are there any areas for improvement?","They deliver on what they promised. They understand our industry and so they know what is best for our company. They also have been great at explaining the complicated process of SEO.","","No, they have met or exceeded our expectations","","","5.0","","","","","""Very happy with them.""","""They deliver on their promises.""","""Flexible schedules, easy to change meeting times and very understanding if something comes up.""","""We have seen great improvement on our SEO and have saved a lot of money. They do not try and up sale you like other companies.""","""Very likely, much better than our previous SEO company.","","","",""
"SEO for Mountain Bike Media Company","Search Engine Optimization","","Confidential","Oct. 2019 - Ongoing","5.0","5.0","5.0","5.0","5.0","""The speed in which they respond blew me away!""","Dec 6, 2019","Owner, The Loam Wolf","drew rohde","Verified","Media","Bend, Oregon","1-10 Employees","Online Review","Big Leap provided SEO services for a mountain bike media company. This included creating a content calendar, selecting target keywords, and working to increase the site's domain authority.","The engagement led to a large increase in traffic in a short amount of time and higher Google search rankings. Big Leap establishes a smooth workflow through effective communication. The team is hard-working, knowledgeable and collaborative.","The client submitted this review online.","Please describe your company and your position there.","We're a mountain bike and dirt bike media outlet primarily focused on reviewing products as well as creating unique native content features.","For what projects/services did your company hire Big Leap?","To increase web traffic, drive more visitors, increase domain authority and improve our rankings in google.","What were your goals for this project?","After several calls talking/interviewing other firms we felt a connection with Big Leap and their employees expressed more concern with our specialized content and ability to produce content without their writers so they could focus on structuring and optimizing our existing reviews and posts.","","","How did you select this vendor?","","Describe the project in detail.","Triple our web traffic!","What was the team composition?","We had a great introduction call and met the team, some of whom were actually familiar with our sport and what we were trying to achieve. From there we worked on developing a strategy that begin with some deep research into keywords and top competitors in our space.","Can you share any outcomes from the project that demonstrate progress or success?","","How effective was the workflow between your team and theirs?","","What did you find most impressive about this company?","","Are there any areas for improvement?","","","","","","5.0","","After gaining some very impressive results and knowledge from the deep dive we began a strategy to check highly searched terms off our content calendar list to maximize our chances for traffic while BigLeap worked to optimize our older posts.","The speed in which they respond blew me away!","Overall we're very impressed.","","","","","","We have a great marketing manager named Cassara and she's been very on top of requests and scheduling any additional help or services we need.","Email correspondence is great! We get replies back very quickly and they're able to hop on any request in short order.","","We've seen increased traffic to the site in a relatively short period of time and are excited to see that grow even more as Big Leap continues to optimize more pages. We've also quickly jumped up many places in our Google ranking and have reviews placed in the Google Snippet box within 1 month of being optimized."
"Digital Marketing for Fencing & Deck Installation Company","Other Digital Marketing","","Less than $10,000","Oct. 2016 - Ongoing","5.0","5.0","5.0","5.0","5.0","""The most impressive thing about BigLeap is the trust they have earned from all their clients.""","Nov 15, 2019","CMO, Best Vinyl Fence & Deck","Mitch Labrum","Verified","Other industries","Lehi, Utah","51-200 Employees","Online Review","Big Leap provided digital marketing services for a fence and deck installation company. This includes SEO, PCC, and local listings.","The engagement resulted in hundreds of keywords where the client ranks on the first page of results, generating leads. Big Leap establishes a seamless workflow to ensure both teams are on the same page. The team is honest and hard-working.","The client submitted this review online.","Please describe your company and your position there.","I am the CMO of a fence and deck installation company.","For what projects/services did your company hire Big Leap?","To handle our digital marketing, specifically SEO, PPC and local listings.","What were your goals for this project?","I have previously worked with the founder and several other employees of this company and I know that they are the best at what they do and trust them to the utmost.","","","How did you select this vendor?","","Describe the scope of their work in detail.","To increase our online presence and leads generated through all search engines, but most importantly Google.","What was the team composition?","From the very beginning they impressed me with how in tune they were with helping to plan the strategy around our ""why"" we are in business. We collaborated on designing a strategy to match our goals and they did great at jumping into the minutia and taking care of all of the tactical plans on the back end. We came up with a game plan to employ PPC to see some short-term and SEO for more long lasting results in the organic results. And of course, we wanted to make sure we were on top of our local listings and reviews.","Can you share any outcomes from the project that demonstrate progress or success?","I first met with the found and VP of biz dev and they took great care of me during the presentation and sales process. The transition to the account management team was seamless. I've had a lead account manger and some specialists I work with on a day to day basis since day one.","How effective was the workflow between your team and theirs?","When we first started we had under 100 keywords on the first page of Google and now we have hundreds of keywords on the first page driving us continuous leadflow. Before we started using BigLeap the majority of our leads (although the volume was low) were coming from traditional marketing channels like yellow pages and magazines but now we are seeing a drastic increase in lead volume, as well as lead quality.","What did you find most impressive about this company?","The transition to account management teams was seamless and they've always been great to send me monthly reports, meet in person on a monthly basis and answer any questions or requests I have in between.","Are there any areas for improvement?","The most impressive thing about BigLeap is the trust they have earned from all their clients. In a day where a lot of fly-by-night digital marketing companies are popping up employing smoke-in-mirrors tactics is refreshing to know your are in such good hands with BigLeap. Anyone that has ever worked with them refers their friends and family there and that is the best compliment anyone could ask for.","","There's always room for improvement and I know they always continue to innovate and work hard to maintain their amazing culture as they grow. As for our relationship, I can't think of anything specific I would say needs to be fixed.","","","5.0","","","","","","","","","","","","",""
"SEO for Air & Heat Company","Search Engine Optimization","","$10,000 to $49,999","Mar. 2019 - Ongoing","5.0","4.5","5.0","4.0","5.0","""Their professionalism and transparency about their work set them apart.""","Nov 12, 2019","Operations & Marketing Manager, Absolute Air Heat and Water","Brian Hortin","Verified","Other industries","Mapleton, Utah","11-50 Employees","Online Review","Big Leap provided SEO services for an air and heating company. The team created and implemented a strategy to increase traffic and visibility of the site.","The internal team has seen a steady increase in search rankings and traffic. Big Leap provides regular reports to ensure both teams ar eon the same page, facilitating a successful workflow. The team is talented, honest, and collaborative.","The client submitted this review online.","Please describe your company and your position there.","Absolute Air is a home service company offering repair and installation of HVAC equipment, water heaters, water softeners, and other related products and services. I am the Operations and Marketing Manager.","For what projects/services did your company hire Big Leap?","We wanted to improve our ongoing organic SEO efforts for our online presence.","What were your goals for this project?","By referral","","","How did you select this vendor?","","Describe the project in detail.","Increase traffic to our site, increase visibility for customers searching for our services in our area, convert more searchers to actual customers.","What was the team composition?","They reviewed our needs in detail and proposed a plan of action. After reviewing the details together we agreed on the plan and budget and moved forward. They have had regular calls with us to review progress and adjust work as needed. They provide monthly reports to track work completed and results.","Can you share any outcomes from the project that demonstrate progress or success?","We work with our project manager who is supported by a team of strategists, writers, and other team members I don't know.","How effective was the workflow between your team and theirs?","We've seen steady increases in rankings and traffic during our time with them, despite a lagging industry with mild weather this year.","What did you find most impressive about this company?","We speak mostly by email in between our monthly scheduled calls, but communication is always prompt and professional.","Are there any areas for improvement?","Their professionalism and transparency about their work set them apart. Previous SEO companies seemed to have us on autopilot without any real work completed on a regular basis, but Big Leap shows us the work being done and the results we're seeing so it's easy to continue to work with them.","","None that I can think of now.","","","5.0","","","","","""Overall a great fit for us and we're happy to continue with them.""","""Good work that boosts our results. Content written is strong, but nothing amazing or memorable.""","""Easy scheduling and communicating""","""They aren't cheap, but I feel the value is definitely there.""","""I would give a strong recommendation based on our experience.","","","",""
"Content & SEO Strategy for Higher Education Institution","Content Marketing","","$10,000 to $49,999","Oct. 2018 - June 2019","5.0","5.0","5.0","4.0","5.0","“I was impressed that they were always willing to do whatever asked of them and be adaptable.”","Jun 13, 2019","SEO Manager, CEHE","Patrick Oney","Verified","Education","Salt Lake City, Utah","1,001-5,000 Employees","Online Review","Big Leap provided a wide range of content marketing and SEO services, from content generation (e.g., onsite copy, blogs, offsite content) to site audits, reputation management, and keyword research.","With Big Leap, there has been a year-over-year increase in organic traffic across all of the client’s brands. The team was accommodating, navigating internal style guides and compliance checks with ease. While they could’ve been a bit more responsive at times, their overall workflow was spot on.","The client submitted this review online.","Please describe your company and your position there.","I am the SEO manager at the Center for Excellence in Higher Education (CEHE).","For what projects/services did your company hire Big Leap?","We hired Big Leap for content strategy, content (e.g., onsite copy, blogs, offsite content), general SEO strategy, website audits, keyword research, reputation management, and more.","What were your goals for this project?","They were already selected before I started working here.","","","How did you select this vendor?","","Describe the scope of their work in detail.","Our goal was to improve leads and conversions for all of CEHE's websites.","What was the team composition?","They conducted monthly reports on website performance, provided monthly blog content for each website, and consulted on SEO practices. We had weekly calls to review goals, current projects, and new projects.","Can you share any outcomes from the project that demonstrate progress or success?","I worked with CJ Lewis (Enterprise Digital Marketing Director, Big Leap), Jake Webster (Online Marketing Manager, Big Leap), and Megan Shockley (Senior Digital Marketing Specialist, Big Leap). They were fantastic to work with!","How effective was the workflow between your team and theirs?","We have seen an increase in year-over-year (YOY) organic traffic for all brands.","What did you find most impressive about this company?","They were great. We, on the other hand, put a lot of restrictions on them because we have certain marketing rules and standards that we must follow. And we have been slow most of the time keeping up with everything that Big Leap has provided us because of those rules and standards and approvals that we have to get from our compliance team and our executives.","Are there any areas for improvement?","I was impressed that they were always willing to do whatever asked of them and be adaptable.","","Sometimes Big Leap could be slow to respond to chats or emails, but it was never egregious.","","","5.0","","","","","","""While I personally don't have an issue with the cost, I know others at CEHE do.""","","","","","","",""
"SEO & Content Marketing for Higher Education Organization","Search Engine Optimization","","$200,000 to $999,999","July 2016 - Apr. 2021","5.0","5.0","5.0","5.0","5.0","""Their willingness to evolve and adapt make them a valuable partner who stands out in their industry.""","Mar 7, 2019","Director of Digital Marketing, Center for Excellence in Higher Education","Devin Sorensen","Verified","Education","Salt Lake City, Utah","1,001-5,000 Employees","Phone Interview","Big Leap provides ongoing SEO support. They performed an audit of the site and build lists of relevant keywords. They also create content, write blogs, and implement other efforts to optimize the platform.","The SEO services contribute to increasing overall traffic. The site has received more direct engagement, referrals, and quality leads from the optimization efforts. As a team, Big Leap is flexible and receptive to feedback, making them an easy, effective partner to work with.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I’m the director of digital marketing at the Center for Excellence in Higher Education (CEHE). We’re a parent company for several post-secondary education schools. We have four major colleges with roughly 10,000 students between them.","What","Each of our main four universities has a different website, so we needed Big Leap’s help with SEO and content creation for the web pages.","challenge","the","","","were you trying to address with Big Leap?","In addition to the SEO efforts, Big Leap creates materials for our various sites. They run blogs and write content for our websites. Their team works to upgrade our existing content and add more to increase our platforms’ optimization.","What was the scope of their involvement?","Big Leap provides ongoing SEO support. In the beginning, they performed a complete audit of our sites. For the optimization efforts, they do keyword analysis and find related key terms. They create meta descriptions and title tags for our search results. Their team also provides linking support to increase backlinks, etc.","What is","","team","","composition?","","How did you come to work with Big Leap?","","How much have you invested with them?","","What is the status of this engagement?","","What evidence can you share that demonstrates the impact of the engagement?","","5.0","We have three main points of contact. CJ (Enterprise Digital Marketing Director, Big Leap) leads our weekly discussions and answers my questions. Jake (Digital Marketing Manager, Big Leap) is responsible for providing SEO recommendations and performing audits. Megan (Senior Digital Marketing Specialist, Big Leap) supports our content upgrades and blogs.","We looked at vendors across the nation, but we liked that Big Leap was local to us.","Their level of organization and ability to keep up with the work have been their main strengths. Even though we’re working on several websites, they communicate their progress well and keep track of our needs. We primarily speak through email, phone calls, and Slack for daily updates.","Their willingness to evolve and adapt make them a valuable partner who stands out in their industry. Whenever we provide feedback on their ideas, they’re eager to make changes and go the extra mile for us. If we want more content, blogs, or updates, they make our needs a priority, which we don’t see with other providers.","","","","","","We pay them $20,000 monthly. In total, we’ve spent between $600,000–$700,000 on Big Leap's services.","We track their success through three different forms of traffic: direct, organic, and referral traffic. In each type of engagement, we’ve seen significant gains and increases from our users. Our main goal is to get more people to look at our websites and improve the number of leads we receive. Working with Big Leap has helped us achieve these goals.","","We began working together in July 2016, and the engagement is ongoing."
"SEO for Interpreting Company","Search Engine Optimization","","$10,000 to $49,999","Feb. 2018 - Ongoing","4.5","4.5","4.5","3.0","4.0","“They're willing to go an extra mile for us.”","Nov 16, 2018","COO, Interpreting Company","Anonymous","Verified","Business services","Orem, Utah","11-50 Employees","Phone Interview","Helping increase organic traffic, Big Leap oversees SEO, writes content for the website, and creates backlinks. They also assist with keyword research and editing descriptions on referral pages.","The in-house team is impressed with Big Leap’s proactive approach and their willingness to learn industry-specific terminology. The impact on business is yet to be seen, but Big Leap’s professionalism and excellent communication skills earned them favorable referrals.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I'm the COO of an interpreting company.","What challenge were you trying to address with Big Leap?","We wanted to boost our Google rankings, so we were looking for a company to help us.","What was the scope of their involvement?","We have one main point of contact.","","","What is the team composition?","","How did you come to work with Big Leap?","They provide SEO services and create content for our website. They also write blurbs, maintain our blog, and create backlinks to our website. We're focusing on organic traffic and they also help us with keyword research. We have some referral pages on our website, so they've edited some of the descriptions on those pages, optimizing our presence.","How much have you invested with them?","They were recommended to us by someone who had worked with them previously and had a very positive experience.","What is the status of this engagement?","We've spent about $18,000.","What evidence can you share that demonstrates the impact of the engagement?","We started working with them in February 2018 and the relationship is ongoing.","How did Big Leap perform from a project management standpoint?","They're very personable and willing to learn the terminology specific to our industry. We haven't seen a big impact yet, so we started a tracking software to help us see the progress.","What did you find most impressive about them?","They're good communicators and send us regular updates via email, which we really appreciate. We also meet once a month in their office.","Are there any areas they could improve?","They're willing to go an extra mile for us. They were very proactive about learning the specific terminology and doing their own research to make sure they use the language that is politically correct in our community.","","They've done a great job letting us know where the budget is going, but we'd like them to also show us what our ROI is. We're a small company, so seeing the value proposition is important to us.","4.5","","","","","","","","","","","","",""
"SEO & Keyword Research for IT Service Provider","Pay Per Click","Search Engine Optimization","$50,000 to $199,999","Jan. 2017 - Ongoing","5.0","5.0","5.0","4.5","5.0","""We’ve more than tripled our monthly web traffic and that’s all due to Big Leap.""","Oct 23, 2018","Digital Marketing Manager, Venafi","Anonymous","Verified","Information technology","Salt Lake City, Utah","201-500 Employees","Phone Interview","Big Leap does SEO and keyword research to improve Google rankings. They’ve optimized a variety of written content including blog posts.","The team has increased traffic from 7,000 to 25,000 monthly visitors. Popular content pieces reflect Big Leap’s research expertise and strategic approach. They are organized, competent, and timely. Although the team no longer provides PPC, they continue to enhance results and achieve success.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I’m the digital marketing manager of Venafi, an IT security company. We sell to enterprises.","What","We had never made a concerted effort to go after keywords via SEO. When I became the digital marketing manager, I decided to implement a keyword research strategy. We then hired Big Leap to audit our SEO and address ongoing concerns.","challenge","","","","were you trying to address with Big Leap?","Initially, the scope included PPC. However, Big Leap dropped that service line. We now use a second vendor for that.","What was the scope of their involvement?","Big Leap audited our website and implemented an SEO strategy based on keyword research. After executing the strategy, they optimized our content including the blogs. The team fixed technical issues and updated keyword terms, titles, and descriptions to improve the site’s Google rankings.","What is the team composition?","","How did you come to work with Big Leap?","","How much have you invested","","with","","them?","","What is the status of this engagement?","","What evidence can you share that demonstrates the impact of the engagement?","","5.0","We work with an account manager and a project manager.","I did a Google search and found multiple vendors including Big Leap. Contacts in my network recommended the team as well. Next, I interviewed six companies and Big Leap impressed me the most. We hired the team based on their performance during the interview stage.","The team is organized and timely; if the project is running behind, it’s usually our fault. Originally, we had weekly in-person meetings but transitioned to every other week as the partnership evolved. I go to them because Big Leap’s office is near my house. We also communicate via email.","Big Leap is highly competent at content optimization and keyword research. They effectively allocate resources to maximize results. One of their content pieces is among our site’s five most-viewed pages. Overall, they’re a group of smart people that know SEO strategy.","","","","","","We started working together in January 2017 and the partnership is ongoing.","We’ve more than tripled our monthly web traffic and that’s all due to Big Leap. Specifically, the number of visitors has increased from 7,000 to 25,000 per month.","","We’ve spent around $100,000."
"SEO for Photography Equipment Company","Search Engine Optimization","","$10,000 to $49,999","June 2017 - Ongoing","5.0","5.0","5.0","5.0","5.0","“They're genuinely interested in our brand and invest their time in building a positive relationship.”","Oct 9, 2018","Co-Founder, WANDRD","Ryan Cope","Verified","Arts, entertainment & music","Provo, Utah","1-10 Employees","Phone Interview","After doing keyword research, Big Leap has been managing SEO, creating backlinks, and writing content/blog posts for a website.","The organic traffic has increased and Google rankings are getting higher each month. Big Leap goes above and beyond to meet all needs, while their expertise and personable approach contributed to a positive experience.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I'm the co-founder of WANDRD. We create photography equipment.","What challenge were you trying to address with Big Leap?","We wanted to increase our organic traffic and visibility, so we were looking for a company to help us with SEO.","What was the scope of their involvement?","We have a project manager, but I can talk to any member of their team.","","","What is the team composition?","","How did you come to work with Big Leap?","They've been doing keyword research and optimizing our website. They create content for our web pages and blog posts, add meta tags and keywords to images, create backlinks, and help us establish connections to other influential sites.","How much have you invested with them?","They were recommended to me by another agency.","What is the status of this engagement?","We spend about $3,500 a month.","What evidence can you share that demonstrates the impact of the engagement?","We started working with them in June 2017 and the relationship is ongoing.","How did Big Leap perform from a project management standpoint?","Our rankings and the number of keywords that we target have been increasing month over month. Our organic traffic has also been on the rise.","What did you find most impressive about them?","They stay on top of everything. We have a call with them every other week and they send us a monthly report. They're genuinely interested in our brand and invest their time in building a positive relationship. We usually communicate via email and phone, but we've also met in person. They're great communicators.","Are there any areas they could improve?","We appreciate their personable approach.","","I don't have any complaints. Everything has been great.","5.0","","","","","","","","","","","","",""
"SEO for Real Estate & Educational Events","Search Engine Optimization","","$200,000 to $999,999","Oct. 2016 - Ongoing","5.0","5.0","5.0","5.0","5.0","“They paid attention to what was most important to us.”","Oct 3, 2018","Former PR Manager, Zurixx","Janine Halversen","Verified","Financial services","Cottonwood Heights, Utah","51-200 Employees","Phone Interview","After doing extensive keyword research, Big Leap created written/video content and managed SEO. They guided the in-house team through the entire process and provided extensive reporting.","Big Leap exceeded all expectations and took the website to the first page of Google search results. Exceptional listeners, they went above and beyond to accomplish all goals, while their outstanding communication and reporting skills contributed to the positive experience.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","When I worked with Big Leap, I was a PR manager at Zurixx.","What challenge were you trying to address with Big Leap?","We needed a company to help us improve our SEO rankings. We had worked with three other companies before hiring Big Leap, but we didn’t see the results we wanted. Big Leap definitely outshone the competition.","What was the scope of their involvement?","I had regular communication with two people from their team, but there were about five people assigned to our project.","","","What is the team composition?","They also invested a lot of time in developing the reporting that was easy for our team to understand. They educated us about SEO and provided a timeline, so we were never left in the dark.","How did you come to work with Big Leap?","Big Leap came into our office multiple times, trying to understand our problem. They provided keyword research and then created videos and other content for us. They also developed new web properties and were constantly auditing the content we had to help us improve it.","How much have you invested with them?","Our CEO found Big Leap. We didn't have much success with the other companies we worked with, so we needed urgent help.","What is the status of this engagement?","We've spent about $350,000.","What evidence can you share that demonstrates the impact of the engagement?","I started working with Big Leap in October 2016 and our company continues working with them. (I'm no longer with the company).","How did Big Leap perform from a project management standpoint?","I worked with Big Leap for two years and they far exceeded our expectations. We had specific goals about what we wanted to see on the first page of results for certain keywords and Big Leap hit all of our goals. In addition, they developed even better content than we used to have. Anytime there was a crisis with the company, they were always there to lend a helping hand.","What did you find most impressive about them?","Their communication and reporting were excellent. They stayed on top of everything when it came to phone calls and meetings, so I never had to remind them of anything. They updated the list of projects weekly, so we knew what was happening. We were in constant communication over the phone and email, and we also had in-person meetings.","Are there any areas they could improve?","They paid attention to what was most important to us. Also, they invested a lot of time in doing the reporting that we needed and that our CEO liked.","Do you have any advice for potential customers?","I can't think of anything. It was a great relationship.","5.0","","","","","","""I've recommended them to a lot of people.","","","","","","Be transparent. They can't read your mind, but they will pay attention to every single idea, complaint, or thought that you lay out for them. They're an exceptional team. I highly recommend them.",""
"SEO & PPC for HR Software","Pay Per Click","Search Engine Optimization","$10,000 to $49,999","Jan. 2014 - Ongoing","4.5","4.5","4.0","4.5","5.0","“Big Leap has helped increase our organic search rankings, traffic, and domain authority overall.”","Sep 28, 2018","Director of Demand Generation, BambooHR","Ian Elmer","Verified","Other industries","Lindon, Utah","201-500 Employees","Phone Interview","Big Leap helps with a variety of SEO services, including strategy, competitive research, website auditing, PPC, and content creation.","Big Leap's expertise and invaluable input over the years have helped significantly improve overall web performance. Although their project management could be more prompt, their team is very impressive. They continue to deliver results and add value as long-term partners.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I'm the director of demand generation at BambooHR, a company that sells HR software.","What challenge were you trying to address with Big Leap?","We engaged Big Leap to help us improve our Google search rankings through SEO and PPC campaigns as our business grew.","What was the scope of their involvement?","We mostly work directly with two people.","","","What is the team composition?","","How did you come to work with Big Leap?","Big Leap provides digital marketing services as needed, including overall strategy, competitive research, website audits, PPC, SEO, and content building. As the relationship evolved over the years, we now manage PPC work in-house, but they continue to provide SEO services.","What is the status of this engagement?","Big Leap was hired before I started working at the company, but I also happened to know one of their owners and decided to continue the relationship once I came onboard. We've found them to be knowledgeable in their field, which gives us the confidence to continue working with them. They've also continued to deliver results and I feel that I can trust their team.","What evidence can you share that demonstrates the impact of the engagement?","We've been working with them since around 2014 and the relationship is ongoing.","How did Big Leap perform from a project management standpoint?","Big Leap has helped increase our organic search rankings, traffic, and domain authority overall. They've also provided valuable ideas and feedback over the years that's helped us improve our online performance.","What did you find most impressive about them?","They're relatively good at staying in touch with us and sticking to deadlines. We mostly communicate through videoconferences and meet in-person from time to time.","Are there any areas they could improve?","Their written, SEO content is very good. Their technical expertise and helpful input also sets them apart; their ideas are a good mix of tried-and-true, as well as new and innovative methods.","","Their account managers could be a little more proactive about following up with us more frequently.","","","4.5","","","","","","","","","","","","",""
"SEO Services for Start-Up","Search Engine Optimization","","$50,000 to $199,999","June 2016 - Dec. 2017","4.5","5.0","5.0","4.5","5.0","“Since working with Big Leap, our organic search rankings have continued to climb.”","Aug 29, 2018","CEO, GRIP6","BJ Minson","Verified","Other industries","Salt Lake City, Utah","11-50 Employees","Phone Interview","Big Leap provided SEO services, including keyword research, blog content creation, and digital advertising strategy.","Big Leap significantly improved the website's overall performance and organic search rankings, creating some particularly well-performing blog content in the process. Extremely proactive and dedicated in their approach, working with their team was a great experience overall.","A Clutch analyst personally interviewed this
				client over the phone. Below is an edited
				transcript.","Introduce your business and what you do there.","I'm the CEO of GRIP6, a startup belt manufacturer.","What challenge were you trying to address with Big Leap?","We were looking for a vendor to help with our long-term marketing strategy, including SEO.","What was the scope of their involvement?","We worked with about four to five people, and Ryan (Digital Marketing Director, Big Leap) was our main point of contact.","","","What is the team composition?","","How did you come to work with Big Leap?","Big Leap oversaw our initial marketing strategy and provided SEO services, including keyword research and management of Google AdWord campaigns. They also created blog content for the website.","How much have you invested with them?","They were referred to us by another company we trusted. We had a number of disappointing experiences with other marketing companies, so we were happy to finally find a vendor that could actually deliver on their promises.","What is the status of this engagement?","We invested around $90,000–$100,000.","What evidence can you share that demonstrates the impact of the engagement?","We worked together from around June 2016 to December 2017. We've since hired a couple in-house marketing staff to bring costs down.","How did Big Leap perform from a project management standpoint?","Since working with Big Leap, our organic search rankings have continued to climb. They created some very relevant blog content that performed exceptionally well.","What did you find most impressive about them?","Ryan was great to work with; he's the no. 1 reason we had such a good experience with Big Leap. He was always very proactive and on top of tasks, working hard to come up with solutions and new ideas to help improve our online performance. We mostly kept in touch through phone and email, but also met in-person on a monthly basis.","Are there any areas they could improve?","They were very competent, fair, and easy to work with overall.","Do you have any advice for potential customers?","We were very happy with their SEO services, but less impressed by their knowledge of Facebook advertising services. Although they started managing some social media ads for us in a transparent way, we decided to keep managing it on our end instead.","4.5","","","","","","","","","","","","I don't really have any advice other than to give them a try–they're great at what they do, and I continue to recommend them to anyone looking for SEO services.",""
